Row Type,CTID,CTDL Type,CTDL Type Label,Name,Alternate Name(s),Description,Credential Status Type,Finder ID,In Language(s),Last Updated,Owned By/Offered By,Time Estimate(s),Industry Code(s),Occupation Code(s),Instructional Program Code(s),Learning Delivery Type(s),Subject Webpage,Keywords,Requirements Description(s),Finder Detail Page,Registry URI,Estimated Cost(s),Estimated Cost Details
Resource,ce-56443758-6f1c-473c-9246-76e85f6be44d,ceterms:Badge,Badge,"Bachelor of Science, Marketing (BSMKT_202501)",BSMKT_202501,"This online marketing degree is designed to be high impact, giving you the skills you need to position yourself as a top marketer. You'll be prepared to stand out with your understanding in traditional marketing concepts, along with knowledge in digital and emerging methods, data literacy, and customer-focused strategies. WGU's Bachelor of Science in Marketing online degree is an affordable program focused on preparing you for a variety of careers in sales, promotion, and management.

This online marketing degree focuses specifically on the critical skills you need to thrive, including digital marketing, consumer behavior, marketing analytics, sales management, branding, content creation, communication, and more. You'll study and analyze consumer behavior as you learn how to develop strategies for various products and services, preparing you to work on teams in a variety of industries. Getting this marketing degree online will enhance your skills and credentials, ensuring you are prepared for an exciting career path in marketing management, marketing strategy, brand management, event planning, sales, content marketing, digital marketing, and many more areas.",Active,110645,English,"Jan 8, 2025 10:02 AM",Western Governors University,4 Years,"Professional, Scientific, and Technical Services (54)",Marketing Managers (11-2021.00),"Marketing/Marketing Management, General (52.1401)",Online Only,https://www.wgu.edu/online-business-degrees/bachelors-programs.html,Advertising | Brand Management | Branding | Business Acumen | Business Development | Business Growth | Business Networking | Competitive Analysis | Consumer Behavior | Consumer Insights | Content Marketing | Customer Engagement | Customer Experience | Customer Journey | Customer Relationship Management | Data Analysis | Digital Advertising | Digital Marketing | Distribution Strategies | E-commerce | Integrated Marketing Communication | Market Development | Market Research | Market Segmentation | Marketing | Marketing Analysis | Marketing Analytics | Marketing and Culture | Marketing and Society | Marketing and Technology | Marketing Budget | Marketing Campaigns | Marketing Channels | Marketing Collaboration | Marketing Communication | Marketing Communication Skills | Marketing Data | Marketing Ethics | Marketing Impact | Marketing Innovation | Marketing Leadership | Marketing Management | Marketing Metrics | Marketing Mix | Marketing Partnerships | Marketing Performance | Marketing Planning | Marketing Research | Marketing ROI | Marketing Strategies | Marketing Strategy | Marketing Sustainability | Marketing Tactics | Marketing Trends | Positioning | Pricing Strategies | Product Management | Product Promotion | Promotion | Public Relations | Retail Management | Sales Management | Sales Strategies | Search Engine Optimization (SEO) | Social Media Marketing | Social Media Strategies | Strategic Marketing | Target Audience,"The learner must have satisfied the indicated learning opportunities, or an approved equivalent, in order to be awarded the credential.",https://credentialfinder.org/Credential/110645,https://credentialengineregistry.org/resources/ce-56443758-6f1c-473c-9246-76e85f6be44d,"Cost #1 | Cost Profile | Each six-month term includes costs for tuition, an e-books and resources fee, and a program fee. Please see site for details. | https://www.wgu.edu/financial-aid-tuition.html",No Details Available
Resource,ce-fc195cc2-ba45-4c92-a925-fe798e8d1522,ceterms:BachelorOfScienceDegree,Bachelor of Science Degree,"Bachelor of Science Business Administration, Marketing (BSBAMK_202203)",BSBAMK_202203,"This online marketing degree is designed to be high impact, giving you the skills you need to position yourself as a top marketer. You'll be prepared to stand out with your understanding in traditional marketing concepts, along with knowledge in digital and emerging methods, data literacy, and customer-focused strategies. WGU's Bachelor of Science Business Administration in Marketing online degree is an affordable program focused on preparing you for a variety of careers in sales, promotion, and management. 

This online marketing degree focuses specifically on the critical skills you need to thrive, including digital marketing, consumer behavior, marketing analytics, sales management, branding, content creation, communication, and more. You'll study and analyze consumer behavior as you learn how to develop strategies for various products and services, preparing you to work on teams in a variety of industries. Getting this marketing degree online will enhance your skills and credentials, ensuring you are prepared for an exciting career path in marketing management, marketing strategy, brand management, event planning, sales, content marketing, digital marketing, and many more areas.",Ceasing,64791,English | English,"Jan 8, 2025 10:01 AM",Western Governors University,4 Years,"Professional, Scientific, and Technical Services (54)",Marketing Managers (11-2021.00),"Marketing/Marketing Management, General (52.1401)",Online Only,https://www.wgu.edu/online-business-degrees/bachelors-programs.html,Advertising | Brand Management | Branding | Business Acumen | Business Administration | Business Development | Business Growth | Business Networking | Competitive Analysis | Consumer Behavior | Consumer Insights | Content Marketing | Customer Engagement | Customer Experience | Customer Journey | Customer Relationship Management | Data Analysis | Digital Advertising | Digital Marketing | Distribution Strategies | E-commerce | Integrated Marketing Communication | Market Development | Market Research | Market Segmentation | Marketing | Marketing Analysis | Marketing Analytics | Marketing and Culture | Marketing and Society | Marketing and Technology | Marketing Budget | Marketing Campaigns | Marketing Channels | Marketing Collaboration | Marketing Communication | Marketing Communication Skills | Marketing Data | Marketing Ethics | Marketing Impact | Marketing Innovation | Marketing Leadership | Marketing Management | Marketing Metrics | Marketing Mix | Marketing Partnerships | Marketing Performance | Marketing Planning | Marketing Research | Marketing ROI | Marketing Strategies | Marketing Strategy | Marketing Sustainability | Marketing Tactics | Marketing Trends | Positioning | Pricing Strategies | Product Management | Product Promotion | Promotion | Public Relations | Retail Management | Sales Management | Sales Strategies | Search Engine Optimization (SEO) | Social Media Marketing | Social Media Strategies | Strategic Marketing | Target Audience,"The learner must have satisfied the indicated learning opportunities, or an approved equivalent, in order to be awarded the credential.",https://credentialfinder.org/Credential/64791,https://credentialengineregistry.org/resources/ce-fc195cc2-ba45-4c92-a925-fe798e8d1522,"Cost #1 | WGU Tuition | Each six-month term includes costs for tuition, an e-books and resources fee, and a program fee. Please see site for details. | https://www.wgu.edu/financial-aid-tuition.html | US Dollar",No Details Available
Resource,ce-51cdd73a-c271-483b-9241-dbd409d26c4e,ceterms:BachelorOfScienceDegree,Bachelor of Science Degree,"Bachelor of Science, Healthcare Administration (BSHA_202407)",BSHA_202407,"Healthcare is a booming career field, and today's successful healthcare managers combine industry-specific knowledge with current skills in business administration. This Bachelor of Science in Healthcare Administration integrates general business experience with specialized skills in healthcare administration. It is designed to prepare you with the knowledge, skills, and confidence for diverse administrative and managerial roles in the healthcare sector.
 In this program you will be prepared for entry-level positions in healthcare settings including: 

Skilled nursing and residential care facilities 
Large hospitals 
Insurance companies 
Community health organizations 
Case management organizations 
Financial services in the healthcare industry 

An online healthcare administration degree allows you to stand out from the competition, boosting your résumé and preparing you for raises, promotions, or a step into a new career field.",Active,95021,English,"Jul 9, 2024 2:00 PM",Western Governors University,4 Years,Offices of Physicians (except Mental Health Specialists) (621111),Medical and Health Services Managers (11-9111.00),Health/Health Care Administration/Management (51.0701),Online Only,https://www.wgu.edu/online-nursing-health-degrees/bachelors-programs.html,Health Economics | Health Informatics | Health Information Management | Health Services Administration | Health Services Research | Health Systems Management | Healthcare Compliance | Healthcare Ethics | Healthcare Finance | Healthcare Leadership | Healthcare Management | Healthcare Marketing | Healthcare Operations | Healthcare Policy | Healthcare Quality Improvement | Hospital Administration | Medical Office Management | Medical Practice Management | Patient Care Management | Public Health Administration,"The learner must have satisfied the indicated learning opportunities, or an approved equivalent, in order to be awarded the credential.",https://credentialfinder.org/Credential/95021,https://credentialengineregistry.org/resources/ce-51cdd73a-c271-483b-9241-dbd409d26c4e,"Cost #1 | WGU Tuition | Each six-month term includes costs for tuition, an e-books and resources fee, and a program fee. Please see site for details. | https://www.wgu.edu/financial-aid-tuition.html | US Dollar",No Details Available
Resource,ce-fd7f5a01-f10d-47a2-8f8a-8d66dc7a5bb4,ceterms:BachelorOfScienceDegree,Bachelor of Science Degree,"Bachelor of Science, Cloud Computing - Microsoft Azure track (BSCCAZR_202207)",BSCCAZR_202207,"Demand for skilled cloud professionals has increased dramatically in recent years. A career in cloud computing involves designing, developing, and implementing cloud computing policies for an organization. The main responsibilities are managing an organization's infrastructure and providing a secure environment. Want to deepen your expertise with cloud computing platforms like Amazon, AWS, and Microsoft Azure. A Bachelor of Science in Cloud Computing will position you to support organizations with their: 
Servers 
Networks 
Storage 
Development 
Applications 
Ongoing maintenance and security 

You can earn while you learn with this online cloud computing degree. Top technology certifications, such as Amazon (AWS) and Microsoft (Azure), are built into the IT degree program and do not add time or additional costs-but do add to your résumé as soon as you've earned them, even before you complete your degree!",Ceasing,66291,English | English,"Jul 9, 2024 1:59 PM",Western Governors University,4 Years,"Professional, Scientific, and Technical Services (54)",Network and Computer Systems Administrators (15-1142.00),Information Technology (11.0103),Online Only,https://www.wgu.edu/online-it-degrees/bachelors-programs.html#_,Cloud Adoption | Cloud Adoption Strategies | Cloud and Business Agility | Cloud and Data Regulations | Cloud and Digital Transformation | Cloud and Innovation | Cloud and Sustainability | Cloud APIs | Cloud Architecture | Cloud Architecture Design | Cloud Automation | Cloud Backup and Recovery | Cloud Business Continuity | Cloud Business Models | Cloud Career Paths | Cloud Case Studies | Cloud Certification | Cloud Challenges | Cloud Compliance | Cloud Computing | Cloud Computing Benefits | Cloud Computing Models | Cloud Cost Management | Cloud Data Management | Cloud Data Security | Cloud Data Sovereignty | Cloud Deployment | Cloud Deployment Models | Cloud Development | Cloud DevOps | Cloud Disaster Recovery | Cloud Economics | Cloud Ethics | Cloud Governance | Cloud Governance Frameworks | Cloud Identity and Access Management | Cloud Industry Standards | Cloud Infrastructure | Cloud Integration | Cloud Management | Cloud Migration | Cloud Migration Planning | Cloud Monitoring | Cloud Networking | Cloud Performance | Cloud Privacy | Cloud Providers | Cloud Resource Management | Cloud Return on Investment (ROI) | Cloud Risk Management | Cloud Scalability | Cloud Security | Cloud Security Best Practices | Cloud Service Level Agreements (SLAs) | Cloud Services | Cloud Solutions | Cloud Storage | Cloud Strategy | Cloud Strategy Development | Cloud Technology | Cloud Trends | Cloud Vendor Evaluation | Containerization | Hybrid Cloud | IaaS (Infrastructure as a Service) | Multi-Cloud | PaaS (Platform as a Service) | Private Cloud | Public Cloud | SaaS (Software as a Service) | Serverless Computing | Virtualization,"The learner must have satisfied the indicated learning opportunities, or an approved equivalent, in order to be awarded the credential.",https://credentialfinder.org/Credential/66291,https://credentialengineregistry.org/resources/ce-fd7f5a01-f10d-47a2-8f8a-8d66dc7a5bb4,"Cost #1 | WGU Tuition | Each six-month term includes costs for tuition, an e-books and resources fee, and a program fee. Please see site for details. | https://www.wgu.edu/financial-aid-tuition.html | US Dollar",No Details Available
Resource,ce-04d78bde-14e5-40b4-a416-e98da930d9ad,ceterms:BachelorOfScienceDegree,Bachelor of Science Degree,"Bachelor of Science, Network Engineering and Security (BSNES_202208)",BSNES_202208,"Systems security and network engineering professionals are in high demand. With WGU's online bachelor's degree in network engineering and security, you'll gain the knowledge, skills, and certifications you need to take advantage of that demand and begin a successful career in the field. You can also keep working full-time while earning your degree. Earning your B.S. in Network Engineering and Security will help you increase your earning potential, job security, and opportunities for advancement. You'll develop the latest skills in: 
Network engineering 
Network operations 
Security management skills",Ceasing,65393,English,"Jul 9, 2024 1:59 PM",Western Governors University,4 Years,"Professional, Scientific, and Technical Services (54)",Network and Computer Systems Administrators (15-1142.00),Computer and Information Systems Security/Information Assurance (11.1003),Online Only,https://www.wgu.edu/online-it-degrees/bachelors-programs.html,Computer Networks | Cyber Threats | Cybersecurity | Data Privacy | Data Security | Ethical Hacking | Firewall Management | Information Security | Information Technology | Intrusion Detection | IT Security | Network Administration | Network Analysis | Network Architecture | Network Configuration | Network Defense | Network Design | Network Engineering | Network Hardware | Network Infrastructure | Network Management | Network Monitoring | Network Optimization | Network Performance | Network Protocols | Network Security | Network Troubleshooting | Risk Management,"The learner must have satisfied the indicated learning opportunities, or an approved equivalent, in order to be awarded the credential.",https://credentialfinder.org/Credential/65393,https://credentialengineregistry.org/resources/ce-04d78bde-14e5-40b4-a416-e98da930d9ad,"Cost #1 | WGU Tuition | Each six-month term includes costs for tuition, an e-books and resources fee, and a program fee. Please see site for details. | https://www.wgu.edu/financial-aid-tuition.html | US Dollar",No Details Available
Resource,ce-659034ec-5eb7-4569-bef3-e09c5ab5f4b7,ceterms:BachelorOfScienceDegree,Bachelor of Science Degree,"Bachelor of Science, Cloud Computing - Multi-Cloud track (BSCCMCL_202207)",BSCCMCL_202207,"Demand for skilled cloud professionals has increased dramatically in recent years. A career in cloud computing involves designing, developing, and implementing cloud computing policies for an organization. The main responsibilities are managing an organization's infrastructure and providing a secure environment. Want to deepen your expertise with cloud computing platforms like Amazon, AWS, and Microsoft Azure? A Bachelor of Science in Cloud Computing will position you to support organizations with their: 
Servers 
Networks 
Storage 
Development 
Applications 
Ongoing maintenance and security 

You can earn while you learn with this online cloud computing degree. Top technology certifications, such as Amazon (AWS) and Microsoft (Azure), are built into the IT degree program and do not add time or additional costs-but do add to your résumé as soon as you've earned them, even before you complete your degree!",Ceasing,66225,English,"Jul 9, 2024 1:58 PM",Western Governors University,4 Years,"Professional, Scientific, and Technical Services (54)",Network and Computer Systems Administrators (15-1142.00),Information Technology (11.0103),Online Only,https://www.wgu.edu/online-it-degrees/bachelors-programs.html#_,Cloud Adoption | Cloud Adoption Strategies | Cloud and Business Agility | Cloud and Data Regulations | Cloud and Digital Transformation | Cloud and Innovation | Cloud and Sustainability | Cloud APIs | Cloud Architecture | Cloud Architecture Design | Cloud Automation | Cloud Backup and Recovery | Cloud Business Continuity | Cloud Business Models | Cloud Career Paths | Cloud Case Studies | Cloud Certification | Cloud Challenges | Cloud Compliance | Cloud Computing | Cloud Computing Benefits | Cloud Computing Models | Cloud Cost Management | Cloud Data Management | Cloud Data Security | Cloud Data Sovereignty | Cloud Deployment | Cloud Deployment Models | Cloud Development | Cloud DevOps | Cloud Disaster Recovery | Cloud Economics | Cloud Ethics | Cloud Governance | Cloud Governance Frameworks | Cloud Identity and Access Management | Cloud Industry Standards | Cloud Infrastructure | Cloud Integration | Cloud Management | Cloud Migration | Cloud Migration Planning | Cloud Monitoring | Cloud Networking | Cloud Performance | Cloud Privacy | Cloud Providers | Cloud Resource Management | Cloud Return on Investment (ROI) | Cloud Risk Management | Cloud Scalability | Cloud Security | Cloud Security Best Practices | Cloud Service Level Agreements (SLAs) | Cloud Services | Cloud Solutions | Cloud Storage | Cloud Strategy | Cloud Strategy Development | Cloud Technology | Cloud Trends | Cloud Vendor Evaluation | Containerization | Hybrid Cloud | IaaS (Infrastructure as a Service) | Multi-Cloud | PaaS (Platform as a Service) | Private Cloud | Public Cloud | SaaS (Software as a Service) | Serverless Computing | Virtualization,"The learner must have satisfied the indicated learning opportunities, or an approved equivalent, in order to be awarded the credential.",https://credentialfinder.org/Credential/66225,https://credentialengineregistry.org/resources/ce-659034ec-5eb7-4569-bef3-e09c5ab5f4b7,"Cost #1 | WGU Tuition | Each six-month term includes costs for tuition, an e-books and resources fee, and a program fee. Please see site for details. | https://www.wgu.edu/financial-aid-tuition.html | US Dollar",No Details Available
Resource,ce-622b3b7d-a1e0-4193-b8b7-48f771485abc,ceterms:BachelorOfScienceDegree,Bachelor of Science Degree,"Bachelor of Science, Cloud Computing - Amazon Web Services track (BSCCAWS_202207)",BSCCAWS_202207,"Demand for skilled cloud professionals has increased dramatically in recent years. A career in cloud computing involves designing, developing, and implementing cloud computing policies for an organization. The main responsibilities are managing an organization's infrastructure and providing a secure environment. Want to deepen your expertise with cloud computing platforms like Amazon, AWS, and Microsoft Azure. A Bachelor of Science in Cloud Computing will position you to support organizations with their: 
Servers 
Networks 
Storage 
Development 
Applications 
Ongoing maintenance and security 

You can earn while you learn with this online cloud computing degree. Top technology certifications, such as Amazon (AWS) and Microsoft (Azure), are built into the IT degree program and do not add time or additional costs-but do add to your résumé as soon as you've earned them, even before you complete your degree!",Ceasing,66194,English | English,"Jul 9, 2024 1:58 PM",Western Governors University,4 Years,"Professional, Scientific, and Technical Services (54)",Network and Computer Systems Administrators (15-1142.00),Information Technology (11.0103),Online Only,https://www.wgu.edu/online-it-degrees/bachelors-programs.html#_,Cloud Adoption | Cloud Adoption Strategies | Cloud and Business Agility | Cloud and Data Regulations | Cloud and Digital Transformation | Cloud and Innovation | Cloud and Sustainability | Cloud APIs | Cloud Architecture | Cloud Architecture Design | Cloud Automation | Cloud Backup and Recovery | Cloud Business Continuity | Cloud Business Models | Cloud Career Paths | Cloud Case Studies | Cloud Certification | Cloud Challenges | Cloud Compliance | Cloud Computing | Cloud Computing Benefits | Cloud Computing Models | Cloud Cost Management | Cloud Data Management | Cloud Data Security | Cloud Data Sovereignty | Cloud Deployment | Cloud Deployment Models | Cloud Development | Cloud DevOps | Cloud Disaster Recovery | Cloud Economics | Cloud Ethics | Cloud Governance | Cloud Governance Frameworks | Cloud Identity and Access Management | Cloud Industry Standards | Cloud Infrastructure | Cloud Integration | Cloud Management | Cloud Migration | Cloud Migration Planning | Cloud Monitoring | Cloud Networking | Cloud Performance | Cloud Privacy | Cloud Providers | Cloud Resource Management | Cloud Return on Investment (ROI) | Cloud Risk Management | Cloud Scalability | Cloud Security | Cloud Security Best Practices | Cloud Service Level Agreements (SLAs) | Cloud Services | Cloud Solutions | Cloud Storage | Cloud Strategy | Cloud Strategy Development | Cloud Technology | Cloud Trends | Cloud Vendor Evaluation | Containerization | Hybrid Cloud | IaaS (Infrastructure as a Service) | Multi-Cloud | PaaS (Platform as a Service) | Private Cloud | Public Cloud | SaaS (Software as a Service) | Serverless Computing | Virtualization,"The learner must have satisfied the indicated learning opportunities, or an approved equivalent, in order to be awarded the credential.",https://credentialfinder.org/Credential/66194,https://credentialengineregistry.org/resources/ce-622b3b7d-a1e0-4193-b8b7-48f771485abc,"Cost #1 | WGU Tuition | Each six-month term includes costs for tuition, an e-books and resources fee, and a program fee. Please see site for details. | https://www.wgu.edu/financial-aid-tuition.html | US Dollar",No Details Available
Resource,ce-95df4577-46c2-4947-8de7-64cfb342fa14,ceterms:BachelorOfScienceDegree,Bachelor of Science Degree,"Bachelor of Science, Cloud Computing  Multi-Cloud Track (BSCCMCL_202406)",BSCCMCL_202406,"Demand for skilled cloud professionals has increased dramatically in recent years. A career in cloud computing involves designing, developing, and implementing cloud computing policies for an organization. The main responsibilities are managing an organization's infrastructure and providing a secure environment. Want to deepen your expertise with cloud computing platforms like Amazon, AWS, and Microsoft Azure? A Bachelor of Science in Cloud Computing will position you to support organizations with their:
Servers
Networks
Storage
Development
Applications
Ongoing maintenance and security

You can earn while you learn with this online cloud computing degree. Top technology certifications, such as Amazon (AWS) and Microsoft (Azure), are built into the IT degree program and do not add time or additional costs-but do add to your résumé as soon as you've earned them, even before you complete your degree!",Active,93426,English,"Jun 24, 2024 8:47 AM",Western Governors University,4 Years,"Professional, Scientific, and Technical Services (54)",Network and Computer Systems Administrators (15-1142.00),Information Technology (11.0103),Online Only,https://www.wgu.edu/online-it-degrees/bachelors-programs.html,Cloud Adoption | Cloud Adoption Strategies | Cloud and Business Agility | Cloud and Data Regulations | Cloud and Digital Transformation | Cloud and Innovation | Cloud and Sustainability | Cloud APIs | Cloud Architecture | Cloud Architecture Design | Cloud Automation | Cloud Backup and Recovery | Cloud Business Continuity | Cloud Business Models | Cloud Career Paths | Cloud Case Studies | Cloud Certification | Cloud Challenges | Cloud Compliance | Cloud Computing | Cloud Computing Benefits | Cloud Computing Models | Cloud Cost Management | Cloud Data Management | Cloud Data Security | Cloud Data Sovereignty | Cloud Deployment | Cloud Deployment Models | Cloud Development | Cloud DevOps | Cloud Disaster Recovery | Cloud Economics | Cloud Ethics | Cloud Governance | Cloud Governance Frameworks | Cloud Identity and Access Management | Cloud Industry Standards | Cloud Infrastructure | Cloud Integration | Cloud Management | Cloud Migration | Cloud Migration Planning | Cloud Monitoring | Cloud Networking | Cloud Performance | Cloud Privacy | Cloud Providers | Cloud Resource Management | Cloud Return on Investment (ROI) | Cloud Risk Management | Cloud Scalability | Cloud Security | Cloud Security Best Practices | Cloud Service Level Agreements (SLAs) | Cloud Services | Cloud Solutions | Cloud Storage | Cloud Strategy | Cloud Strategy Development | Cloud Technology | Cloud Trends | Cloud Vendor Evaluation | Containerization | Hybrid Cloud | IaaS (Infrastructure as a Service) | Multi-Cloud | PaaS (Platform as a Service) | Private Cloud | Public Cloud | SaaS (Software as a Service) | Serverless Computing | Virtualization,"The learner must have satisfied the indicated learning opportunities, or an approved equivalent, in order to be awarded the credential.",https://credentialfinder.org/Credential/93426,https://credentialengineregistry.org/resources/ce-95df4577-46c2-4947-8de7-64cfb342fa14,"Cost #1 | WGU Tuition | Each six-month term includes costs for tuition, an e-books and resources fee, and a program fee. Please see site for details. | https://www.wgu.edu/financial-aid-tuition.html | US Dollar",No Details Available
Resource,ce-d625a942-3711-4d0b-8bc4-54e253afbde9,ceterms:BachelorOfScienceDegree,Bachelor of Science Degree,"Bachelor of Science, Cloud Computing - Microsoft Azure track (BSCCAZR_202406)",BSCCAZR_202406,"Demand for skilled cloud professionals has increased dramatically in recent years. A career in cloud computing involves designing, developing, and implementing cloud computing policies for an organization. The main responsibilities are managing an organization's infrastructure and providing a secure environment. Want to deepen your expertise with cloud computing platforms like Amazon, AWS, and Microsoft Azure? A Bachelor of Science in Cloud Computing will position you to support organizations with their:
Servers
Networks
Storage
Development
Applications
Ongoing maintenance and security

You can earn while you learn with this online cloud computing degree. Top technology certifications, such as Amazon (AWS) and Microsoft (Azure), are built into the IT degree program and do not add time or additional costs-but do add to your résumé as soon as you've earned them, even before you complete your degree!",Active,93425,English,"Jun 24, 2024 8:46 AM",Western Governors University,4 Years,"Professional, Scientific, and Technical Services (54)",Network and Computer Systems Administrators (15-1142.00),Information Technology (11.0103),Online Only,https://www.wgu.edu/online-it-degrees/bachelors-programs.html#_,Cloud Adoption | Cloud Adoption Strategies | Cloud and Business Agility | Cloud and Data Regulations | Cloud and Digital Transformation | Cloud and Innovation | Cloud and Sustainability | Cloud APIs | Cloud Architecture | Cloud Architecture Design | Cloud Automation | Cloud Backup and Recovery | Cloud Business Continuity | Cloud Business Models | Cloud Career Paths | Cloud Case Studies | Cloud Certification | Cloud Challenges | Cloud Compliance | Cloud Computing | Cloud Computing Benefits | Cloud Computing Models | Cloud Cost Management | Cloud Data Management | Cloud Data Security | Cloud Data Sovereignty | Cloud Deployment | Cloud Deployment Models | Cloud Development | Cloud DevOps | Cloud Disaster Recovery | Cloud Economics | Cloud Ethics | Cloud Governance | Cloud Governance Frameworks | Cloud Identity and Access Management | Cloud Industry Standards | Cloud Infrastructure | Cloud Integration | Cloud Management | Cloud Migration | Cloud Migration Planning | Cloud Monitoring | Cloud Networking | Cloud Performance | Cloud Privacy | Cloud Providers | Cloud Resource Management | Cloud Return on Investment (ROI) | Cloud Risk Management | Cloud Scalability | Cloud Security | Cloud Security Best Practices | Cloud Service Level Agreements (SLAs) | Cloud Services | Cloud Solutions | Cloud Storage | Cloud Strategy | Cloud Strategy Development | Cloud Technology | Cloud Trends | Cloud Vendor Evaluation | Containerization | Hybrid Cloud | IaaS (Infrastructure as a Service) | Multi-Cloud | PaaS (Platform as a Service) | Private Cloud | Public Cloud | SaaS (Software as a Service) | Serverless Computing | Virtualization,"The learner must have satisfied the indicated learning opportunities, or an approved equivalent, in order to be awarded the credential.",https://credentialfinder.org/Credential/93425,https://credentialengineregistry.org/resources/ce-d625a942-3711-4d0b-8bc4-54e253afbde9,"Cost #1 | WGU Tuition | Each six-month term includes costs for tuition, an e-books and resources fee, and a program fee. Please see site for details. | https://www.wgu.edu/financial-aid-tuition.html | US Dollar",No Details Available
Resource,ce-d1812a7f-be70-4061-8335-44100b599a61,ceterms:AssociateOfScienceDegree,Associate of Science Degree,"Associate of Science, Business (ASBU_200509)",ASBU_200509,An Associate of Science degree in Business.,Ceasing,88059,English | English,"Mar 6, 2024 5:19 PM",Western Governors University,2 Years,"Professional, Scientific, and Technical Services (54)",General and Operations Managers (11-1021.00),"Business Administration and Management, General (52.0201)",Online Only,http://www.wgu.edu,Accounting | Business | Business Accounting | Business Administration | Business Analysis | Business Analysis Tools | Business Analytics | Business Change Management | Business Communication | Business Communication Skills | Business Communication Strategies | Business Customer Service | Business Data Analysis Techniques. | Business Decision Making | Business Development | Business Economics | Business Entrepreneurship | Business Ethics | Business Ethics and Social Responsibility | Business Ethics and Sustainability | Business Finance | Business Financial Planning | Business Human Resource Practices | Business Information Systems | Business Information Technology | Business Innovation | Business Innovation Strategies | Business Law | Business Leadership | Business Leadership Skills | Business Management | Business Market Analysis | Business Marketing | Business Mathematics | Business Negotiation | Business Networking | Business Operations | Business Operations Management | Business Organizational Skills | Business Planning | Business Policy | Business Presentation Skills | Business Problem Solving | Business Project Management | Business Research | Business Risk Assessment | Business Sales Techniques | Business Startups | Business Statistics | Business Strategic Thinking | Business Strategy | Business Supply Chain Strategies | Business Teamwork | Business Technology | Business Time Management | Business Writing | Customer Relationship Management | Data Analysis | Decision Making | Economics | Entrepreneurship | Finance | Financial Management | Human Resource Management | Leadership | Management Principles | Market Research | Marketing | Organizational Behavior | Project Management | Risk Management | Sales | Strategic Planning | Supply Chain Management,"The learner must have satisfied the indicated learning opportunities, or an approved equivalent, in order to be awarded the credential.",https://credentialfinder.org/Credential/88059,https://credentialengineregistry.org/resources/ce-d1812a7f-be70-4061-8335-44100b599a61,"Cost #1 | WGU Tuition | Each six-month term includes costs for tuition, an e-books and resources fee, and a program fee. Please see site for details. | https://www.wgu.edu/financial-aid-tuition.html | US Dollar",No Details Available
